Threshold,Precision,Recall,F1,TN,FP,FN,TP,Predicted_Positive
0.1,0.006095638465580662,0.9830508474576272,0.012116147900564027,19045,9457,1,58,9515
0.15,0.008738888051830646,0.9830508474576272,0.017323775388291517,21923,6579,1,58,6637
0.2,0.013367135284627794,0.9830508474576272,0.0263756252842201,24221,4281,1,58,4339
0.25,0.02,0.9661016949152542,0.03918872464764524,25709,2793,2,57,2850
0.3,0.033013205282112844,0.9322033898305084,0.06376811594202898,26891,1611,4,55,1666
0.35,0.055314533622559656,0.864406779661017,0.10397553516819572,27631,871,8,51,922
0.4,0.08648648648648649,0.8135593220338984,0.1563517915309446,27995,507,11,48,555
0.45,0.14285714285714285,0.7966101694915254,0.2422680412371134,28220,282,12,47,329
0.5,0.21287128712871287,0.7288135593220338,0.32950191570881227,28343,159,16,43,202
0.55,0.2302158273381295,0.5423728813559322,0.32323232323232326,28395,107,27,32,139
0.6,0.2857142857142857,0.4067796610169492,0.3356643356643357,28442,60,35,24,84
0.65,0.21428571428571427,0.2033898305084746,0.20869565217391303,28458,44,47,12,56
0.7,0.2619047619047619,0.1864406779661017,0.21782178217821782,28471,31,48,11,42
0.75,0.5384615384615384,0.11864406779661017,0.19444444444444445,28496,6,52,7,13
0.8,1.0,0.0847457627118644,0.15625,28502,0,54,5,5
0.85,1.0,0.01694915254237288,0.03333333333333333,28502,0,58,1,1
0.9,0.0,0.0,0.0,28502,0,59,0,0
